,address,rent,beds,baths,borough,hood,elevator,doorman,laundry,furnished,sqft,page
224,E 39th St,3960,Studio,1,Manhattan,Murray Hill,True,True,False,False,,33
225,10 Montieth Apt 249,2335,1,1,Brooklyn,Bushwick,True,True,False,False,,33
226,West 11th Street,4925,2,1,Manhattan,West Village,True,False,False,False,695,33
227,Hanover Square,3107,Studio,1,Manhattan,Financial District,True,True,False,False,,33
228,E 86th,3300,2,1,Manhattan,Carnegie Hill,True,True,False,False,,33
229,5-49 Borden Avenue,3200,1,1,Queens,Sunnyside,True,True,False,False,661,33
230,W 88th Street,4125,2,1,Manhattan,Upper West Side,False,False,False,False,,33
240,North Moore Street,4450,1,1,Manhattan,Tribeca,True,True,False,False,,32
241,West End Avenue,14750,4,3,Manhattan,Upper West Side,True,True,True,False,,32
242,E 79th St.,4375,1,1,Manhattan,Yorkville,True,True,False,False,1006,32
243,303 East 33rd St,3300,1,1,Manhattan,Kips Bay,True,True,True,False,565,32
244,330 East 100th Street,3464,3,2,Manhattan,East Harlem,True,False,True,False,,32
245,330 East 63rd St,3300,1,1,Manhattan,Upper East Side,True,True,True,False,,32
246,775 Columbus Avenue Apt 5B,3690,1,1,Manhattan,Manhattan Valley,True,True,False,False,,32
260,West Street,5000,2,2,Manhattan,Financial District,True,True,False,False,,31
261,West 25th Street,2395,1,1,Manhattan,Chelsea,False,False,False,False,,31
262,E 89 St,5000,4,2,Manhattan,Yorkville,True,True,False,False,,31
263,808 Columbus Avenue Apt 09L,3561,1,1,Manhattan,Manhattan Valley,True,True,False,False,,31
264,West 43rd Street,3162,1,1,Manhattan,Hell's Kitchen,True,True,False,False,,31
265,West 90th Street,4572,3,1,Manhattan,Upper West Side,True,True,False,False,,31
280,Wall Street,3585,Studio,1,Manhattan,Financial District,True,True,False,False,,30
281,E 80th St,2800,2,1,Manhattan,Yorkville,True,False,False,False,,30
282,E 95th St,3095,2,1,Manhattan,Yorkville,True,True,False,False,,30
283,Lexington Avenue,3150,3,1,Manhattan,East Harlem,True,True,False,False,960,30
284,200 water street,5400,4,2,Manhattan,Financial District,True,True,False,False,1100,30
285,W 93rd,3995,1,1,Manhattan,Upper West Side,True,True,False,False,,30
286,West 53rd Street,4938,3,2,Manhattan,Hell's Kitchen,True,True,False,False,,30
287,E 72nd St.,3500,1,1,Manhattan,Upper East Side,True,True,False,False,,30
288,West 12th Street,3975,1,1,Manhattan,Greenwich Village,True,False,False,False,,30
289,Avenue C,3200,2,1,Manhattan,Alphabet City,False,False,False,False,,30
290,E 94th St.,2700,Studio,1,Manhattan,Yorkville,True,True,False,False,,30
300,West Street,4300,1,1,Manhattan,Financial District,True,True,False,False,,29
301,East 21st Street,2400,Studio,1,Manhattan,Flatiron District,True,False,False,False,,29
302,West 31st Street,3800,1,1,Manhattan,Chelsea,True,True,True,False,,29
303,Delancey Street,6800,4,2,Manhattan,Lower East Side,True,True,True,False,,29
304,1 Barclay St,6095,2,2,Manhattan,Tribeca,True,True,True,False,1,29
305,339 W 20th St Apt 1R,3000,Studio,1,Manhattan,Chelsea,False,False,False,False,,29
306,435 East 79th Street,8000,3,3,Manhattan,Yorkville,True,True,True,False,1800,29
307,West 55th Street,3575,1,1,Manhattan,Theater District,True,False,False,False,,29
308,1590 Lexington avenue,3552,3,2,Manhattan,East Harlem,False,False,True,False,,29
309,241 West 13th Street Apt C,2525,Studio,1,Manhattan,West Village,False,False,False,False,,29
310,East 84th Street,1900,Studio,1,Manhattan,Yorkville,False,False,False,False,352,29
311,20 Broad Street Apt 1,3185,1,1,Manhattan,Financial District,True,True,True,False,,29
320,West 101st St/Amsterdam**HOTHO...,4800,3,2,Manhattan,Manhattan Valley,True,True,False,False,,2833
321,East 48th Street,4500,2,2,Manhattan,Turtle Bay,False,True,False,False,,2833
322,East 59th Street,2990,2,1,Manhattan,Sutton Place,False,False,False,False,,2833
323,Grove St/Bleecker*LOCATION*LOC...,2675,Studio,1,Manhattan,West Village,True,False,False,False,,2833
324,Sullivan St/Prince**PRIME*LOCA...,3050,1,1,Manhattan,SoHo,False,False,False,False,,2833
325,2nd Ave/ 9th**AMAZING*APT**,3750,2,1,Manhattan,East Village,False,False,False,False,,2833
326,14th St/5th Ave**INCREDIBLE*,3500,1,1,Manhattan,Flatiron District,True,True,False,False,,2833
327,East 48th Street,4285,1,1,Manhattan,Turtle Bay,False,True,False,False,,2833
328,East 48th Street,3771,1,1,Manhattan,Turtle Bay,False,True,False,False,,2833
329,West 24th St,6400,1,1,Manhattan,NoMad,True,True,False,False,800,2832
330,East 48th Street,4628,2,2,Manhattan,Turtle Bay,False,True,False,False,,2832
331,East 35th Street,2040,Studio,1,Manhattan,Murray Hill,False,False,False,False,,2832
332,Waverly Place,3500,Studio,1,Manhattan,Greenwich Village,False,False,False,False,,2832
333,3RD AVE,2000,2,1,Brooklyn,Bay Ridge,False,False,False,False,1000,2832
334,Long Island City,4200,2,1,Queens,Long Island City,True,True,True,False,900,2831
335,Waterfront LIC,2350,Studio,1,Manhattan,Hunters Point,True,True,False,False,500,2830
336,West 21st St,5004,1,1,Manhattan,Chelsea,True,True,False,False,579,2830
337,AMAZING NO FEE STUDIO ON EXCHA...,2700,Studio,1,Manhattan,Financial District,True,True,False,False,550,2830
338,River Terrace,3400,3,1,Manhattan,Battery Park City,True,True,False,True,,2829
339,East 35th Street,2400,1,1,Manhattan,Murray Hill,True,True,False,False,,2829
340,Lafayette Avenue,3150,1,1,Brooklyn,Clinton Hill,False,False,False,False,,2829
341,West 19th Street,2850,1,1,Manhattan,Chelsea,False,False,False,False,,2829
342,Hope Street,3100,1,1,Brooklyn,East Williamsburg,False,False,False,False,,2829
343,Central Park North,2700,2,1,Manhattan,Central Harlem,False,False,False,False,,2829
344,Dean Street,3326,1,1,Brooklyn,Prospect Heights,False,True,False,False,,2829
345,Grand Street,3000,1,1,Brooklyn,East Williamsburg,False,False,False,False,,2829
346,Pearson Street,2773,1,1,Queens,Long Island City,False,True,False,False,,2829
347,Second Avenue E. 42nd,4295,3,2,Manhattan,Tudor City,True,True,False,False,,2829
348,Studio in Luxury No FEE Tribec...,3199,Studio,1,Manhattan,Tribeca,True,True,False,False,500,2829
349,East 39th Street,3000,1,1,Manhattan,Murray Hill,True,True,True,False,715,2828
350,Ludlow Street,4995,3,1,Manhattan,Lower East Side,False,False,True,False,,2828
351,West 43rd Street,4000,2,2,Manhattan,Hell's Kitchen,True,True,True,False,,2828
352,Church Street,3505,1,1,Manhattan,Tribeca,True,True,False,False,,2828
