,address,rent,beds,baths,borough,hood,elevator,doorman,laundry,furnished,sqft,page
27050,Rutgers Street,5310,3,2,Manhattan,Two Bridges,True,True,True,False,,1419
27051,W 34th St.,4000,3,1,Manhattan,Koreatown,True,True,False,False,,1419
27052,E 34th St.,2795,Studio,1,Manhattan,Kips Bay,True,True,False,False,457,1419
27053,1 Columbus Place Apt N14K,4382,1,1,Manhattan,Hell's Kitchen,True,True,False,False,,1419
27054,Tenth Avenue,3100,2,1,Manhattan,Hell's Kitchen,True,False,False,False,,1419
27058,East 5th Street,2075,Studio,1,Manhattan,Alphabet City,False,False,False,False,,1418
27059,West 89th Street,6309,2,2,Manhattan,Upper West Side,True,True,False,False,1004,1418
27060,201 Allen St. Apt 04A,3000,2,1,Manhattan,Bowery,False,False,True,False,,1418
27061,E 46th St.,3295,1,1,Manhattan,Turtle Bay,True,True,False,False,,1418
27062,1st Ave,3780,Studio,1,Manhattan,Murray Hill,True,True,False,False,,1418
27063,N 10th St,2529,Studio,1,Brooklyn,Williamsburg,False,False,False,False,,1418
27067,E 34th St,5224,3,2,Manhattan,Murray Hill,True,True,False,False,,1418
27068,West 19th Street,5850,3,2,Manhattan,Chelsea,True,False,True,False,,1418
27069,E 91st St,6500,3,2,Manhattan,Yorkville,False,False,True,False,,1418
27070,80th St,4500,2,2,Manhattan,Yorkville,True,True,False,False,1100,1418
27071,591 Third Avenue,7500,2,2,Manhattan,Murray Hill,False,False,True,False,1280,1418
27072,West 26th Street,3570,2,1,Manhattan,Chelsea,True,True,False,False,,1418
27074,Center Boulevard,3600,2,1,Manhattan,Hunters Point,True,True,True,False,,1418
27076,W 31st St,7995,4,2,Manhattan,Chelsea,True,True,True,False,1200,1418
27078,129 Ridge Street Apt 6E,3600,2,1,Manhattan,Lower East Side,True,False,True,False,800,1417
27080,Rockwell Pl,3875,1,1,Brooklyn,Fort Greene,False,False,False,False,,1417
27081,33 Westminster Rd Apt 1A,2750,3,1,Brooklyn,Caton Park,False,False,False,False,,1417
27082,East 52nd Street,4364,3,1,Manhattan,Turtle Bay,True,True,False,False,,1417
27083,E 82nd St,11756,3,1,Manhattan,Yorkville,True,False,True,False,,1417
27085,E 29th St.,5840,3,2,Manhattan,Rose Hill,True,True,False,False,1119,1417
27086,Palmetto Street,2795,3,1,Queens,Ridgewood,False,False,True,False,,1417
27087,42nd Road,3250,1,1,Queens,Long Island City,True,True,True,False,,1417
27088,E 87th St.,3185,1,1,Manhattan,Yorkville,True,True,False,False,,1417
27089,TriBeCa,5950,3,2,Manhattan,Battery Park City,True,True,False,False,,1417
27091,E 34th St,2695,Studio,1,Manhattan,Rose Hill,False,False,False,False,,1417
27092,605 W 42nd St Apt 35E,3860,1,1,Manhattan,Hell's Kitchen,True,True,True,False,,1417
27093,West 73rd Street,2850,Studio,1,Manhattan,Upper West Side,True,False,False,False,,1417
27094,West 45th Street,3655,1,1,Manhattan,Hell's Kitchen,False,True,True,False,,1417
27098,6th Avenue,3515,1,1,Manhattan,Murray Hill,True,True,False,False,,1416
27100,42nd Road,3300,1,1,Queens,Long Island City,True,True,True,False,,1416
27101,Gold St.,3350,2,1,Manhattan,Financial District,True,True,False,False,,1416
27102,E 5th St.,2665,1,1,Manhattan,Alphabet City,False,False,True,False,,1416
27103,West 22nd Street,3850,1,1,Manhattan,Chelsea,True,True,False,False,,1416
27104,Park Ave,2500,Studio,1,Manhattan,Murray Hill,True,True,False,False,,1416
27105,Fifth Avenue,2725,1,1,Manhattan,East Harlem,True,True,False,False,520,1416
27106,10th Avenue,3095,2,1,Manhattan,Hell's Kitchen,True,True,True,False,,1416
27107,Nostrand Avenue,3250,4,2,Brooklyn,Bedford-Stuyvesant,False,False,False,True,,1416
27108,E 69th St.,3400,2,1,Manhattan,Upper East Side,True,True,True,False,,1416
27109,W 42nd St.,2650,Studio,1,Manhattan,Theater District,True,True,False,False,,1416
27111,21-06 33 Street Apt D6,1775,1,1,Queens,Steinway,False,False,False,False,600,1416
27113,West 80th Street,1993,Studio,1,Manhattan,Upper West Side,False,False,False,False,,1416
27114,E 87th St,5165,2,2,Manhattan,Yorkville,True,True,False,False,,1416
27117,East 14th Street,6325,4,2,Manhattan,East Village,False,False,True,False,,1416
27118,N 10th St.,3518,1,1,Brooklyn,Williamsburg,True,True,True,False,,1415
27119,299 Ocean Avenue Brooklyn Ny...,2350,2,1,Brooklyn,Prospect Lefferts Gardens,True,False,False,False,850,1415
27120,Third Avenue,2675,1,1,Manhattan,Rose Hill,False,False,False,False,,1415
27121,Water Street,2995,Studio,1,Manhattan,Financial District,True,True,False,False,,1415
27123,Schermerhorn Street,4000,1,1,Brooklyn,Boerum Hill,True,True,True,False,822,1415
27124,10th Avenue,2800,1,1,Manhattan,Hell's Kitchen,True,True,False,False,,1415
27126,East 62nd Street,3595,2,1,Manhattan,Upper East Side,False,False,False,False,,1415
27127,W 37th St.,3590,1,1,Manhattan,Hell's Kitchen,True,True,False,False,,1415
27128,Main St.,2525,1,1,Manhattan,Roosevelt Island,True,True,False,False,,1415
27129,Ludlow Street,7600,3,2,Manhattan,Lower East Side,True,False,True,False,,1415
27130,Main Street,4885,2,2,Manhattan,Roosevelt Island,True,True,False,False,,1415
27131,East 5th Street,5900,4,2,Manhattan,Alphabet City,False,False,False,False,1175,1415
27133,E 39th St,7590,2,1,Manhattan,Murray Hill,True,True,True,False,,1415
27134,48th St.,1650,Studio,1,Queens,Sunnyside,True,False,False,False,,1415
27138,Center Blvd,2347,Studio,1,Queens,Hunters Point,True,True,False,False,,1414
27139,West 57th Street,5550,2,2,Manhattan,Hell's Kitchen,True,True,False,False,,1414
27140,153rd St.,2704,2,2,Queens,Kew Gardens Hills,True,True,True,False,950,1414
27142,East 39th Street,3300,Studio,1,Manhattan,Murray Hill,True,True,True,False,,1414
27143,West 45th Street,3800,1,1,Manhattan,Theater District,True,True,True,False,,1414
27144,E 54th St,5250,3,2,Manhattan,Sutton Place,True,False,True,False,,1414
27145,E 86th St,3700,2,1,Manhattan,Yorkville,False,False,False,False,,1414
27147,Court Street,3685,1,1,Brooklyn,Downtown Brooklyn,True,True,True,False,,1414
27148,E 94th St.,3557,2,1,Manhattan,Yorkville,True,True,False,False,,1414
27149,Classon Avenue,2017,2,1,Brooklyn,Crown Heights,False,False,False,False,,1414
27150,East 35th St,2650,1,1,Manhattan,Murray Hill,True,True,False,False,,1414
27158,Wall Street,3589,1,2,Manhattan,Financial District,True,True,True,False,,1413
27159,Hell's Kitchen,2650,Studio,1,Manhattan,Hell's Kitchen,True,True,True,False,,1413
27160,Chrystie St.,6995,2,2,Manhattan,Bowery,False,False,True,False,,1413
27161,165 E 19th St Apt 4L,3000,3,1,Brooklyn,Flatbush,True,False,True,False,1300,1413
27162,309 East 8th Street,3595,2,1,Manhattan,Alphabet City,False,False,True,False,,1413
27163,West 45th Street,2995,2,1,Manhattan,Hell's Kitchen,False,False,False,False,,1413
27165,North 10th Street,2527,Studio,1,Brooklyn,Williamsburg,True,True,False,False,,1413
27166,E 30th St,3300,2,1,Manhattan,Kips Bay,True,True,False,False,,1413
27167,Riverside Boulevard,2715,1,1,Manhattan,Lincoln Square,True,True,False,False,,1413
27168,East 39th Street,6295,2,2,Manhattan,Murray Hill,True,True,True,False,1200,1413
27170,160 Central Park South,14000,2,2,Manhattan,Theater District,True,True,True,False,1800,1413
27171,254 Broome St. Apt 014,4100,3,1,Manhattan,Lower East Side,False,False,False,False,,1413
27172,East 58th Street,2864,Studio,1,Manhattan,Sutton Place,True,True,True,False,,1413
27173,153rd St.,1810,Studio,1,Queens,Kew Gardens Hills,True,True,False,False,,1413
27174,Waterside Plaza,5000,3,1,Manhattan,Kips Bay,True,True,False,False,,1413
27175,Lawrence Street,3490,1,1,Brooklyn,Downtown Brooklyn,True,True,True,False,,1413
27176,East 10th Street,6200,3,2,Manhattan,Greenwich Village,True,False,False,False,,1413
27178,W 38th St.,3396,Studio,1,Manhattan,Garment District,True,True,True,False,,1412
27179,Park Place,4500,1,1,Manhattan,Tribeca,True,True,False,False,640,1412
27181,West Street,3295,Studio,1,Manhattan,Battery Park City,True,True,False,False,,1412
27182,6th Ave.,5600,3,2,Manhattan,Chelsea,True,True,True,False,,1412
27183,Water Street,2978,2,1,Manhattan,Financial District,True,True,False,False,,1412
27184,West 50th Street,3880,1,1,Manhattan,Hell's Kitchen,False,False,False,False,,1412
27186,Center Blvd,3990,2,2,Queens,Hunters Point,True,True,True,False,,1412
27187,Wall Street,3102,2,1,Manhattan,Financial District,True,True,True,False,,1412
27188,River Terrace,6295,2,2,Manhattan,Battery Park City,True,True,True,False,1065,1412
27189,West 57th Street,7698,3,2,Manhattan,Hell's Kitchen,True,True,False,False,,1412
27190,West 50 Street,4812,3,2,Manhattan,Hell's Kitchen,True,True,False,False,,1412
27192,W 34th St.,3450,2,1,Manhattan,Koreatown,True,True,False,False,,1412
27193,10th Avenue,3185,2,1,Manhattan,Hell's Kitchen,True,True,True,False,,1412
27194,Waverly Place,4175,2,1,Manhattan,Greenwich Village,True,True,True,False,,1412
27196,Columbus Circle / Central Park...,5455,2,2,Manhattan,Hell's Kitchen,True,True,True,False,,1412
27197,Dekalb Ave.,3050,1,1,Brooklyn,Fort Greene,True,False,True,False,,1412
27198,331 East Houston Street,7992,3,2,Manhattan,Lower East Side,True,True,True,False,,1411
27199,Flatbush Ave,4179,3,2,Brooklyn,Prospect Lefferts Gardens,True,True,True,False,,1411
27200,186 Lenox Road Apt 5A,2500,2,1,Brooklyn,Flatbush,True,False,False,False,,1411
27201,531 Knickerbocker Avenue Apt ...,2933,4,1,Brooklyn,Bushwick,False,False,False,False,,1411
27202,E 46th St.,3050,1,1,Manhattan,Turtle Bay,True,True,False,False,,1411
27203,Austin St.,1850,1,1,Queens,Rego Park,False,False,False,False,,1411
27205,Main St.,2549,1,1,Manhattan,Roosevelt Island,True,True,False,False,,1411
27207,East 2nd Street,5100,3,1,Manhattan,Alphabet City,False,False,False,False,,1411
27208,24th Street,3100,1,1,Queens,Long Island City,False,True,False,False,,1411
27209,978 Montgomery Street Apt ......,2000,2,1,Brooklyn,Crown Heights,False,False,False,False,,1411
27211,E 92 St,2600,1,1,Manhattan,Yorkville,True,False,False,False,,1411
27212,W 34th St,4611,3,2,Manhattan,Chelsea,True,True,False,False,,1411
27213,Jane Street,3600,1,1,Manhattan,West Village,True,False,False,False,,1411
27214,St Marks Avenue,1667,Studio,1,Brooklyn,Crown Heights,False,False,False,False,342,1411
27215,43 Avenue,2548,1,1,Queens,Long Island City,True,True,True,False,695,1411
27220,East 94 Street,3557,2,1,Manhattan,Yorkville,True,True,False,False,,1410
27221,Dekalb Avenue,3050,1,1,Brooklyn,Fort Greene,False,True,True,False,,1410
27222,1st Ave.,3150,2,1,Manhattan,Stuyvesant Town - Peter Cooper Village,False,False,False,False,,1410
27223,543 Albany Ave Apt 2A,2250,2,2,Brooklyn,Wingate,False,False,False,False,,1410
27225,East 65th Street,2650,1,1,Manhattan,Lenox Hill,False,False,False,False,,1410
27227,605 W 42 Apt 41S,4100,1,1,Manhattan,Hell's Kitchen,True,True,True,False,,1410
27228,West 43rd Street,4600,3,2,Manhattan,Hell's Kitchen,True,True,False,False,,1410
27229,East 78th Street,9000,4,3,Manhattan,Upper East Side,True,False,True,False,,1410
27230,E 13th street,6000,3,2,Manhattan,East Village,False,False,True,False,,1410
27231,545 85th St,1600,Studio,1,Brooklyn,Bay Ridge,False,False,False,False,,1410
27232,Albany Avenue,2292,1,1,Brooklyn,Bedford-Stuyvesant,False,True,False,False,,1410
27233,Kent Avenue,3390,1,1,Brooklyn,Williamsburg,False,False,False,False,683,1410
27234,23 Menahan Street Apt 2A,3156,3,1,Brooklyn,Bushwick,False,False,False,False,,1410
27239,East 64th Street,5400,3,2,Manhattan,Upper East Side,True,True,True,False,,1409
27241,Water Street,3195,Studio,1,Brooklyn,DUMBO,True,True,True,False,492,1409
27242,E 95th St.,2764,1,1,Manhattan,Upper East Side,True,True,False,False,,1409
27243,1700 East 15th St,1975,2,1,Brooklyn,Homecrest,False,False,False,False,,1409
27244,11th Avenue,6999,2,2,Manhattan,Hell's Kitchen,True,True,True,False,,1409
27245,East 9th Street,2350,1,1,Manhattan,East Village,False,False,False,False,,1409
27246,Jones Street,2475,1,1,Manhattan,West Village,False,False,False,False,,1409
27247,W 42nd St.,5350,2,1,Manhattan,Hell's Kitchen,True,True,False,False,,1409
27248,East 87th Street,3200,1,1,Manhattan,Yorkville,True,True,False,False,,1409
27249,W 26th St,5955,3,2,Manhattan,Chelsea,True,True,False,False,,1409
27250,5th Ave,2595,1,1,Manhattan,East Harlem,True,True,False,False,520,1409
27251,East 95th Street,3900,3,1,Manhattan,Yorkville,False,False,True,False,,1409
27252,Center Blvd,3010,1,1,Queens,Hunters Point,True,True,False,False,,1409
27254,24th Street,3142,1,1,Queens,Long Island City,True,True,True,False,,1409
27255,1400 Fifth Avenue,3200,2,2,Manhattan,Little Senegal,True,True,False,False,1091,1409
27259,Center Blvd,3070,1,1,Queens,Hunters Point,True,True,False,False,,1408
27260,24th Street,2496,Studio,1,Queens,Long Island City,True,True,True,False,,1407
27262,Blue Slip,3350,1,1,Brooklyn,Greenpoint,True,True,True,False,,1407
27266,E 46th St,3295,1,1,Manhattan,Turtle Bay,True,True,False,False,,1407
27268,Stanton St,3495,1,1,Manhattan,Lower East Side,True,False,False,False,,1407
27269,West 37th St,3540,1,1,Manhattan,Hell's Kitchen,True,True,False,False,,1407
27270,Columbus Ave,3375,1,1,Manhattan,Upper West Side,True,True,True,False,,1407
27271,295 W 150th street,2850,3,1,Manhattan,Central Harlem,False,False,False,False,,1407
27272,Hampton St.,1950,1,1,Queens,Elmhurst,True,False,False,False,,1407
27273,Schermerhorn Street,3457,1,1,Brooklyn,Downtown Brooklyn,True,True,False,False,,1407
27274,East 89th Street,4200,1,1,Manhattan,Carnegie Hill,True,True,False,False,,1407
27275,E 86th,3080,2,1,Manhattan,Carnegie Hill,True,True,False,False,,1407
27277,Sullivan Street,2550,Studio,1,Manhattan,Greenwich Village,False,False,False,False,,1407
27280,E 39th St,6225,4,2,Manhattan,Murray Hill,True,True,False,False,,1406
27281,Sunny One Bedroom UWS,3600,1,1,Manhattan,Upper West Side,True,True,True,False,670,1406
27282,24th St.,3600,2,1,Queens,Long Island City,True,True,False,False,,1406
27283,East 67th Street,2395,Studio,1,Manhattan,Upper East Side,True,True,True,False,,1406
27284,E 35th St.,2054,Studio,1,Manhattan,Murray Hill,False,False,False,False,,1406
27285,East 82nd Street,2295,1,1,Manhattan,Yorkville,False,False,False,False,,1406
27286,Parkside Avenue,3785,2,2,Brooklyn,Prospect Lefferts Gardens,True,False,True,False,,1406
27287,Chrystie St,4695,2,1,Manhattan,Bowery,True,False,True,False,,1406
27288,Orchard Street,6000,3,2,Manhattan,Lower East Side,True,False,True,False,1000,1406
27289,148 Patchen Apt 2RJ,2178,2,1,Brooklyn,Bedford-Stuyvesant,False,False,False,False,,1406
27290,Greenwich Street,4595,3,1,Manhattan,Tribeca,True,True,True,False,,1406
27291,W 57th**AMZNG DEAL**,3180,2,1,Manhattan,Hell's Kitchen,True,True,False,False,,1406
27293,West 42nd Street,3200,2,1,Manhattan,Theater District,True,True,True,False,,1406
27294,1689 Sterling Pl,2134,2,1,Brooklyn,Weeksville,True,False,False,False,,1406
27295,Bedford St.,4440,2,1,Manhattan,West Village,False,False,True,False,,1406
27297,8th Avenue,3095,1,1,Manhattan,Theater District,True,True,False,False,,1406
27298,E 34th St.,6000,3,2,Manhattan,Kips Bay,True,True,False,False,,1406
27301,80th st & 1st ave,2500,Studio,1,Manhattan,Yorkville,True,True,False,False,530,1405
27302,81st St,1764,1,1,Queens,Jackson Heights,False,False,False,False,,1405
27303,Ashland Place,2745,Studio,1,Brooklyn,Fort Greene,True,True,True,False,,1405
27304,Rutgers Street,3697,1,1,Manhattan,Two Bridges,True,True,True,False,,1405
27305,Court Street,5900,2,2,Brooklyn,Brooklyn Heights,True,True,True,False,1000,1405
27307,606 W 57,3600,2,1,Manhattan,Hell's Kitchen,True,True,True,False,,1405
27308,West 54th Street,6225,2,2,Manhattan,Hell's Kitchen,False,True,True,False,,1405
27309,East 34th Street,2495,Studio,1,Manhattan,Rose Hill,True,True,False,False,,1405
27310,East 34th Street,2650,Studio,1,Manhattan,Murray Hill,True,True,False,False,,1405
27312,River Terrace,8500,2,2,Manhattan,Battery Park City,True,True,True,False,1600,1405
27313,W 10th Street,3970,1,1,Manhattan,West Village,False,False,False,False,,1405
27315,W 52nd St,5329,3,2,Manhattan,Hell's Kitchen,False,False,True,False,,1405
27316,541 West 144 Street,2600,3,1,Manhattan,Hamilton Heights,False,False,False,False,,1405
27317,Baxter Street,7600,2,2,Manhattan,Little Italy,True,True,True,False,,1405
27320,E 63rd St,5500,2,2,Manhattan,Upper East Side,False,False,False,False,,1404
27321,East 49th Street,2700,Studio,1,Manhattan,Turtle Bay,False,False,False,False,,1404
27322,E 69th St.,3846,2,1,Manhattan,Upper East Side,True,True,False,False,,1404
27323,54th Broadway and Eighth Aven...,5500,2,2,Manhattan,Theater District,True,True,False,False,,1404
27324,Fleet Place,8249,3,2,Brooklyn,Downtown Brooklyn,True,True,True,False,1363,1404
27325,26 Street,1850,1,1,Brooklyn,Greenwood Heights,False,False,False,False,,1404
27328,E 33rd St,6300,4,2,Manhattan,Kips Bay,True,True,False,False,,1404
27330,West 37th Street,3436,2,1,Manhattan,Hell's Kitchen,True,True,False,False,,1404
27331,Stanhope Street,2550,2,2,Brooklyn,Bushwick,False,False,False,False,,1404
27332,Ninth Avenue,3099,1,1,Manhattan,Chelsea,False,False,False,False,,1404
27333,West 26th St,4705,1,1,Manhattan,NoMad,True,True,False,False,662,1404
27335,Center Blvd,2415,Studio,1,Queens,Hunters Point,True,True,False,False,,1404
27340,1411 Lincoln Place Apt 4G,3500,4,1,Brooklyn,Crown Heights,True,False,False,False,800,1403
27341,543 Albany Ave Apt 2B,2450,3,2,Brooklyn,Wingate,False,False,False,False,,1403
27342,Water Street,3323,Studio,1,Manhattan,Financial District,True,True,False,False,,1403
27343,348 West 118th Apt 5TH,2750,2,1,Manhattan,Central Harlem,True,False,False,False,,1403
27344,Washington Avenue,4095,2,2,Brooklyn,Clinton Hill,True,True,True,False,,1403
27345,Center Blvd,3217,1,1,Queens,Hunters Point,True,True,False,False,,1403
27346,City Point,3185,1,1,Brooklyn,Downtown Brooklyn,True,True,True,False,,1403
27351,West 33rd Street,3500,1,1,Manhattan,Chelsea,True,True,False,False,,1403
27352,188 Beach 92nd St,2300,4,1,Queens,Hammels,False,False,False,False,,1403
27353,Murray St.,6900,2,2,Manhattan,Tribeca,True,True,True,False,,1403
27354,Columbus Avenue,2850,2,1,Manhattan,Manhattan Valley,True,True,False,False,,1403
27360,Saint Marks Place,3400,2,1,Manhattan,East Village,False,False,False,False,,1402
27361,E. 3rd Street,3667,2,1,Manhattan,Bowery,False,False,False,False,,1402
27362,E 92 St,1975,Studio,1,Manhattan,Yorkville,True,False,False,False,,1402
27363,E 47th St,6650,4,3,Manhattan,Turtle Bay,True,True,False,False,,1402
27364,44th Dr,3229,1,1,Queens,Long Island City,True,True,False,False,,1402
27365,Broad Street,3275,1,1,Manhattan,Financial District,True,True,True,False,,1402
27366,West 93rd Street,5000,3,2,Manhattan,Upper West Side,True,True,True,False,,1402
27367,44-74 23rd St,3000,2,1,Queens,Hunters Point,False,False,False,False,,1402
27368,East 24th street,5000,3,1,Manhattan,Rose Hill,True,False,False,False,,1402
27369,52nd st/ Lexington Ave.,2749,1,1,Manhattan,Turtle Bay,True,True,False,False,,1402
27370,First Avenue,4200,2,2,Manhattan,Upper East Side,False,False,False,False,,1402
27371,2nd Avenue,4900,3,2,Manhattan,Gramercy Park,False,False,True,False,,1402
27372,Blue Slip,2630,Studio,1,Brooklyn,Greenpoint,True,True,True,False,,1402
27373,W 57st,5000,2,2,Manhattan,Hell's Kitchen,True,True,True,False,1200,1402
27374,E 85 St,3900,3,2,Manhattan,Yorkville,False,False,False,False,,1402
27376,104 West 75th Street Apt B,5000,2,2,Manhattan,Upper West Side,False,False,False,False,1500,1402
27377,Flatbush Ave,4411,3,2,Brooklyn,Prospect Lefferts Gardens,True,True,True,False,,1402
27378,E 96th St.,2676,Studio,1,Manhattan,East Harlem,True,True,False,False,,1402
27379,Prince St.,3819,2,1,Manhattan,NoLita,False,False,True,False,,1402
27380,144 West 27th St,13000,3,2,Manhattan,Chelsea,True,False,False,False,,1401
27382,Spruce Street,9500,3,3,Manhattan,Financial District,True,True,True,False,,1401
27383,Thompson St,4150,2,1,Manhattan,Greenwich Village,False,False,False,False,,1401
27384,321 East 3rd Street Apt 4B,3529,1,1,Manhattan,Alphabet City,True,False,False,False,700,1401
27385,Court St.,6012,2,2,Brooklyn,Brooklyn Heights,True,True,True,False,,1401
27386,W 87th St.,7650,3,2,Manhattan,Upper West Side,True,True,False,False,1330,1401
27387,99 Suffolk Street Apt 3B,4595,2,1,Manhattan,Lower East Side,True,False,True,False,,1401
27388,Second Avenue,10150,2,2,Manhattan,Midtown East,True,True,True,False,,1401
27389,East 39th Street,3550,2,1,Manhattan,Murray Hill,True,True,False,False,,1401
27390,East 13th Street,3483,2,1,Manhattan,East Village,True,False,False,False,,1401
27391,37-40 27th St,2240,Studio,1,Queens,Long Island City,True,False,False,False,,1401
27392,Lexington Avenue,2795,1,1,Manhattan,Rose Hill,False,False,False,False,,1401
27393,24th Street,3400,1,1,Queens,Long Island City,False,True,False,False,,1401
27394,150 East 18th Street Apt 9J,5495,2,1,Manhattan,Gramercy Park,True,False,False,False,,1401
27395,Columbus place,3773,1,1,Manhattan,Hell's Kitchen,True,True,True,False,,1401
27400,83rd Ave.,2295,2,1,Queens,Kew Gardens,True,True,False,False,,1400
27401,Front Street,5270,1,1,Brooklyn,Brooklyn Heights,True,True,True,False,,1400
27403,West 42nd Street,4000,2,2,Manhattan,Theater District,True,True,False,False,,1400
27404,Leroy St,2949,1,1,Manhattan,West Village,False,False,True,False,,1400
27405,Park Ave,4750,2,2,Manhattan,Murray Hill,True,True,False,False,,1400
27406,Central Park / Upper West Side...,3669,1,1,Manhattan,Hell's Kitchen,True,True,True,False,,1400
27408,West 88th Street,3700,2,1,Manhattan,Upper West Side,False,False,False,False,,1400
27410,East 66th Street,1850,Studio,1,Manhattan,Upper East Side,False,False,False,False,,1400
27411,Water Street,2875,1,1,Manhattan,Financial District,True,True,False,False,550,1400
27412,2878 Miles Ave. Apt 1,2000,2,1,Bronx,Throgs Neck,False,False,True,False,900,1400
27413,West 45th Street,2765,Studio,1,Manhattan,Hell's Kitchen,True,True,True,False,,1400
27414,48 Ninth Avenue,2250,Studio,1,Manhattan,Chelsea,False,False,False,False,,1400
27415,Park Ave / 36th St,2529,Studio,1,Manhattan,Murray Hill,True,True,False,True,475,1400
27416,571 W 175th Street Apt C,3116,4,2,Manhattan,Washington Heights,False,False,True,False,1100,1400
27417,River Rd.,3250,2,1,Manhattan,Roosevelt Island,True,True,False,False,,1400
27420,E 78th St.,4396,1,1,Manhattan,Upper East Side,True,True,False,False,,1399
27421,East 46th Street,4700,3,1,Manhattan,Turtle Bay,True,True,False,False,1300,1399
27424,East 5th street,2000,Studio,1,Manhattan,Alphabet City,False,False,False,False,,1399
27426,E 79th St,5300,3,2,Manhattan,Yorkville,False,False,False,False,,1399
27427,Lexington Avenue,3750,4,2,Manhattan,East Harlem,True,True,False,False,1120,1399
27428,24th Street,4250,2,1,Queens,Long Island City,False,True,False,False,,1399
27429,Madison Ave,4800,3,1,Manhattan,Murray Hill,True,True,True,False,,1399
27431,Worth Street,4295,3,1,Manhattan,Civic Center,True,True,False,False,,1399
27433,940 Atlantic Avenue Apt 2,2950,2,1,Brooklyn,Prospect Heights,False,False,False,False,,1399
27436,41st Avenue,2695,Studio,1,Queens,Long Island City,True,True,False,False,,1399
27440,Union Ave.,4262,2,2,Brooklyn,Williamsburg,True,True,True,False,,1398
27441,SoHo,13100,2,2,Manhattan,SoHo,True,True,True,False,,1398
27442,E 47,3800,2,1,Manhattan,Turtle Bay,True,True,False,False,,1398
27443,East 12th Street,2950,Studio,1,Manhattan,Greenwich Village,True,False,False,False,,1398
27446,West 85th street,3225,2,1,Manhattan,Upper West Side,False,False,False,False,,1398
27448,Mott Street,5300,2,1,Manhattan,NoLita,False,False,True,False,,1398
27449,North 3rd Street,2400,Studio,1,Brooklyn,Williamsburg,True,True,True,False,,1398
27450,164 east 62nd,3950,1,1,Manhattan,Lenox Hill,False,False,True,False,1000,1398
27453,York Ave.,4795,2,2,Manhattan,Yorkville,True,True,False,False,,1398
27454,5th Ave.,8000,2,2,Manhattan,East Harlem,True,True,True,False,1200,1398
27457,451 16th Street Apt 4R,2850,2,1,Brooklyn,South Slope,False,False,False,False,950,1398
27461,Central Park W,6500,1,1,Manhattan,Lincoln Square,True,True,False,False,,1397
27462,61-55 Junction Boulevard Apt ...,3590,2,2,Queens,Rego Park,True,True,True,False,1200,1397
27463,E 47th St,7500,5,3,Manhattan,Turtle Bay,True,True,False,False,,1397
27464,Dekalb Ave.,3360,1,1,Brooklyn,Fort Greene,True,True,True,False,,1397
27467,212 East 14th Street Apt 4F.....,6300,4,2,Manhattan,East Village,False,False,True,False,,1397
27468,28th Street,4065,2,2,Queens,Long Island City,True,True,True,False,,1397
27480,24th Street,3535,1,1,Queens,Long Island City,True,True,True,False,,1396
27481,28th Street,3089,1,1,Queens,Long Island City,True,True,True,False,,1396
27482,40 Park Avenue #4C,3500,1,1,Manhattan,Murray Hill,True,True,False,False,800,1396
27484,West Street,10000,2,2,Manhattan,Financial District,False,True,True,True,1258,1396
27485,West 98 street and Amsterdam a...,4300,2,1,Manhattan,Manhattan Valley,True,True,False,False,,1396
27486,West 42nd Street,2995,Studio,1,Manhattan,Hell's Kitchen,True,True,True,False,,1396
27487,27th Street,2000,1,1,Queens,Long Island City,False,False,False,False,,1396
27488,Exchange Pl,2580,Studio,1,Manhattan,Financial District,True,True,False,False,,1396
27489,Midtown East,5495,3,2,Manhattan,Murray Hill,True,True,True,False,,1396
27490,Kent Ave,4240,1,1,Brooklyn,Williamsburg,True,True,False,False,,1396
27491,Crescent St.,3350,2,1,Queens,Long Island City,True,True,False,False,,1396
27492,Ludlow Street,3895,2,1,Manhattan,Lower East Side,False,False,True,False,,1396
27493,Worth Street,3200,1,1,Manhattan,Civic Center,True,True,False,False,,1396
27500,W 53rd St.,3200,2,1,Manhattan,Hell's Kitchen,True,True,False,False,,1395
27501,67th Ave.,2649,2,1,Queens,Rego Park,True,True,False,False,,1395
27502,531 Knickerbocker Avenue Apt ...,2841,4,1,Brooklyn,Bushwick,False,False,False,False,,1395
27503,516 West 143rd Street Apt 4A,2725,3,1,Manhattan,Hamilton Heights,False,False,False,False,,1395
27506,E 14th St.,4495,3,1,Manhattan,Stuyvesant Town - Peter Cooper Village,True,False,False,False,,1395
27507,East 86th Street,2700,Studio,1,Manhattan,Upper East Side,True,True,True,False,,1395
27508,Second Avenue,4500,1,1,Manhattan,East Village,True,True,False,False,812,1395
27509,40th Street,1900,1,1,Queens,Sunnyside,True,False,False,False,700,1395
27510,305 Atlantic Avenue Apt 5F,2499,1,1,Brooklyn,Boerum Hill,False,False,False,False,,1395
27511,510 East 80th St,4750,2,2,Manhattan,Yorkville,True,True,False,True,919,1395
27513,West 13th Street,3550,1,1,Manhattan,West Village,True,False,False,False,,1395
27514,Blue Slip,7892,3,2,Brooklyn,Greenpoint,True,True,True,False,,1395
27520,E 56th St,5250,2,2,Manhattan,Midtown East,True,True,False,False,1155,1394
27521,22-14 Astoria Blvd Astoria A...,2700,2,1,Queens,Astoria,True,False,False,False,1100,1394
